Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte (A);Wahlberechtigte ohne Sperrvermerk (A1);Wahlberechtigte mit Sperrvermerk (A2);Wahlberechtigte nach § 25 Abs 2 BWO (A3);Wählende (B);Wählende mit Wahlschein (B1);Ungültige;Ungültig;Gültige;Gültig;CDU;CDU;SPD;SPD;AfD;AfD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;Die PARTEI;Die PARTEI;Tierschutzpartei;Tierschutzpartei;HEIMAT;HEIMAT;PIRATEN;PIRATEN;ÖDP;ÖDP;V-Partei³;V-Partei³;DiB;DiB;BP;BP;Tierschutzallianz;Tierschutzallianz;MLPD;MLPD;Verjüngungsforschung;Verjüngungsforschung;MENSCHLICHE WELT;MENSCHLICHE WELT;DKP;DKP;Die Grauen;Die Grauen;BüSo;BüSo;Die Humanisten;Die Humanisten;Gartenpartei;Gartenpartei;du;du;SGP;SGP;dieBasis;dieBasis;Bündnis C;Bündnis C;BÜRGERBEWEGUNG;BÜRGERBEWEGUNG;III Weg;III Weg;Bündnis21;Bündnis21;LIEBE;LIEBE;LKR;LKR;PdF;PdF;LfK;LfK;SSW;SSW;Team Todenhöfer;Team Todenhöfer;UNABHÄNGIGE;UNABHÄNGIGE;Volt;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;WGr/EB
;;;;;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
18;HH;Hamburg-Mitte;242078;147594;94479;5;179637;90485;1439;1082;178198;178555;23231;19982;59229;51170;8664;9100;14424;18723;16195;15593;46326;49791;0;0;1340;974;4251;2494;0;2486;136;130;0;905;704;370;0;303;0;0;0;0;0;0;194;70;0;0;0;0;0;112;0;0;0;0;0;275;0;0;0;398;;0;2940;2396;0;0;0;0;0;0;0;77;0;0;0;50;;0;;0;0;0;0;2019;0;0;0;1137;0;0;0;0;0;0;0;564
19;HH;Hamburg-Altona;187705;101693;86007;5;152720;82689;837;625;151883;152095;25441;22478;43427;38865;5191;5036;12380;16543;14716;13667;45063;46162;0;0;756;524;0;1593;0;1405;0;56;1351;571;571;246;0;160;0;0;0;0;0;0;209;84;0;0;0;0;0;92;0;0;0;0;0;129;0;0;0;228;;0;2619;2237;0;0;0;0;0;0;0;55;0;0;0;24;;0;;0;0;0;0;1054;0;0;0;886;0;0;0;0;0;0;0;159
20;HH;Hamburg-Eimsbüttel;193823;102508;91309;6;160970;88153;931;605;160039;160365;27462;23843;47375;44911;5450;5662;12957;18190;11351;10847;47734;47983;0;0;998;761;2334;1358;0;1682;0;53;0;500;450;235;0;139;0;0;0;0;0;0;137;47;0;0;0;0;0;100;0;0;0;0;0;149;0;0;0;188;;0;2400;1895;0;0;0;0;0;0;0;42;0;0;0;24;;0;;0;0;0;0;850;0;0;1391;906;0;0;0;0;0;0;0;0
21;HH;Hamburg-Nord;219909;112541;107359;9;185457;103765;1234;766;184223;184691;43870;34387;56594;51575;6259;6811;15786;26247;9095;8741;47375;46531;0;0;1540;939;0;1443;0;1893;93;79;0;606;0;292;0;220;0;0;0;0;0;0;174;48;0;0;0;0;0;72;0;0;0;0;0;182;0;0;0;150;;0;3258;2535;0;0;0;0;0;0;0;53;0;0;179;64;;0;;0;0;0;0;875;0;0;0;948;0;0;0;0;0;0;0;0
22;HH;Hamburg-Wandsbek;233483;141446;92031;6;174014;88215;1678;1193;172336;172821;33085;29103;66616;59298;11490;11290;15755;19225;10629;8852;26599;32134;0;0;0;1084;0;1615;0;2561;209;169;2068;1048;880;427;0;202;0;0;0;0;0;0;117;49;0;0;0;0;0;69;0;0;0;0;0;235;0;0;0;169;;0;3054;2481;0;0;0;0;0;0;0;83;0;0;0;44;;0;;0;0;0;0;1871;0;0;1834;812;0;0;0;0;0;0;0;0
23;HH;Hamburg-Bergedorf – Harburg;221794;146103;75689;2;158246;72375;1601;1229;156645;157017;26483;25427;61590;52523;12774;12638;13301;15674;10521;9878;24231;27931;0;0;2109;1319;0;1644;0;2298;205;161;0;747;1061;446;0;195;0;0;0;0;0;0;131;50;0;0;0;0;0;87;0;0;0;0;0;233;0;0;0;208;;0;2988;2417;0;0;0;0;0;0;0;76;0;0;0;42;;0;;0;0;0;0;2283;0;0;1251;740;0;0;0;0;0;0;0;0
902;HH;Land;1298792;751885;546874;33;1011044;525682;7720;5500;1003324;1005544;179572;155220;334831;298342;49828;50537;84603;114602;72507;67578;237328;250532;0;0;6743;5601;6585;10147;0;12325;643;648;3419;4377;3666;2016;0;1219;0;0;0;0;0;0;962;348;0;0;0;0;0;532;0;0;0;0;0;1203;0;0;0;1341;0;0;17259;13961;0;0;0;0;0;0;0;386;0;0;179;248;0;0;0;0;0;0;0;8952;0;0;4476;5429;0;0;0;0;0;0;0;723
24;NI;Aurich – Emden;191846;148864;42953;29;137847;40620;2286;1653;135561;136194;24019;24066;71596;59038;0;11173;11798;12113;4861;4671;12652;17668;0;0;4205;1769;0;1130;4162;2220;0;147;0;430;0;82;0;65;0;0;0;0;0;0;0;18;0;0;0;0;0;34;0;0;0;0;0;86;0;0;0;86;;0;2156;1027;0;0;0;0;0;0;0;0;0;0;0;24;;0;;0;0;0;0;149;0;0;0;198;0;0;0;0;0;0;0;112
25;NI;Unterems;238506;185889;52580;37;175826;49977;2079;1550;173747;174276;77143;52067;49440;59229;13584;14248;10763;17671;4358;4650;16434;18576;0;0;0;856;0;1649;0;2044;0;161;0;534;0;58;0;97;0;0;0;0;0;0;0;18;0;0;0;0;0;28;0;0;0;0;0;103;0;0;0;92;;0;1866;1619;0;0;0;0;0;0;0;0;0;0;0;31;;0;;0;0;0;0;211;0;0;0;334;0;0;0;0;0;0;0;159
26;NI;Friesland – Wilhelmshaven – Wittmund;189047;145196;43847;4;134164;41299;1188;1234;132976;132930;29286;28535;60392;50448;10227;10951;9502;13874;3460;4122;13504;17020;0;0;2611;1512;2651;1539;0;2201;0;125;0;419;0;62;0;92;0;0;0;0;0;0;68;50;0;0;0;0;0;21;0;0;0;0;0;115;0;0;0;91;;0;1275;1155;0;0;0;0;0;0;0;0;0;0;0;34;;0;;0;0;0;0;298;0;0;0;266;0;0;0;0;0;0;0;0
